+----------+--------------------+--------------------+-------+
| NNeurons |       Acc_E        |       Acc_V        | epoca |
+----------+--------------------+--------------------+-------+
|    1     | 0.8171428571428573 |        0.76        |  340  |
|    2     | 0.7428571428571429 | 0.7333333333333333 |  161  |
|    3     | 0.7257142857142858 |        0.64        |  162  |
|    4     | 0.7657142857142858 |        0.72        |  120  |
|    5     | 0.8342857142857143 |        0.8         |  126  |
|    6     | 0.8457142857142859 | 0.7733333333333333 |  118  |
|    7     | 0.8457142857142858 | 0.7999999999999999 |  121  |
|    8     | 0.862857142857143  |        0.8         |  124  |
|    9     | 0.8685714285714287 | 0.8266666666666667 |  125  |
|    10    | 0.862857142857143  | 0.8266666666666667 |  121  |
|    11    | 0.8742857142857143 | 0.8133333333333332 |  121  |
|    12    | 0.8514285714285714 |        0.8         |  110  |
|    13    | 0.8514285714285714 | 0.8400000000000001 |  110  |
|    14    | 0.8514285714285714 | 0.8266666666666667 |  113  |
|    15    | 0.8571428571428572 |        0.84        |  121  |
|    16    | 0.8514285714285714 | 0.8266666666666667 |  112  |
|    17    | 0.8400000000000001 | 0.8266666666666667 |   94  |
|    18    | 0.8628571428571429 | 0.8266666666666667 |  108  |
|    19    | 0.8742857142857143 |        0.84        |  108  |
|    20    | 0.8628571428571429 | 0.7866666666666666 |  108  |
+----------+--------------------+--------------------+-------+
