+----------+--------------------+--------------------+-------+
| NNeurons |       Acc_E        |       Acc_V        | epoca |
+----------+--------------------+--------------------+-------+
|    1     | 0.582857142857143  | 0.5733333333333334 |  459  |
|    2     | 0.9657142857142856 | 0.8533333333333333 |  2111 |
|    3     | 0.9371428571428573 |        0.84        |  1089 |
|    4     | 0.9314285714285715 |        0.88        |  1185 |
|    5     | 0.9485714285714286 | 0.8266666666666667 |  1272 |
|    6     |        0.96        | 0.8533333333333333 |  1250 |
|    7     | 0.9371428571428572 | 0.8533333333333333 |  1349 |
|    8     | 0.9314285714285715 | 0.8533333333333333 |  1029 |
|    9     | 0.9314285714285715 | 0.8533333333333333 |  1003 |
|    10    |        0.96        |        0.84        |  1700 |
|    11    | 0.9542857142857143 | 0.8533333333333333 |  1319 |
|    12    | 0.9485714285714286 | 0.8533333333333333 |  1085 |
|    13    | 0.9257142857142857 | 0.8666666666666667 |  854  |
|    14    | 0.9257142857142857 | 0.8533333333333333 |  796  |
|    15    | 0.9371428571428572 | 0.8133333333333332 |  1298 |
|    16    |        0.92        | 0.8533333333333333 |  745  |
|    17    | 0.9485714285714286 |        0.84        |  978  |
|    18    | 0.9371428571428573 | 0.8533333333333333 |  961  |
|    19    | 0.9371428571428572 |        0.84        |  920  |
|    20    |        0.92        | 0.8533333333333333 |  802  |
+----------+--------------------+--------------------+-------+
